config_id,case,problem,cores,group,variant,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,archived_plan
case_047_p3_n1,case_047,3,1,core_regression,persistent,0.03,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,mature,0.0,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,mature,0.01,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_047_p3_n1,case_047,3,1,core_regression,mature,0.03,277066,0,0.0,0,plans/400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d.json
case_053_p3_n5,case_053,3,5,existing_regression,legacy,0.0,325708,10044262,0.0,0,plans/1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36.json
case_053_p3_n5,case_053,3,5,existing_regression,legacy,0.01,325708,10044262,0.0,0,plans/1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36.json
case_053_p3_n5,case_053,3,5,existing_regression,legacy,0.03,325708,10044262,0.0,0,plans/1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36.json
case_053_p3_n5,case_053,3,5,existing_regression,persistent,0.0,325708,10044262,0.0,0,plans/1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36.json
case_053_p3_n5,case_053,3,5,existing_regression,persistent,0.01,325708,10044262,0.0,0,plans/1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36.json
case_053_p3_n5,case_053,3,5,existing_regression,persistent,0.03,325708,10044262,0.0,0,plans/1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36.json
case_053_p3_n5,case_053,3,5,existing_regression,mature,0.0,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053_p3_n5,case_053,3,5,existing_regression,mature,0.01,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053_p3_n5,case_053,3,5,existing_regression,mature,0.03,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_095_p2_n5,case_095,2,5,existing_regression,legacy,0.0,217302,0,0.0,0,plans/1470210382f2c188b1f6aebfc4e2e8e5387a8b3d9762e65b0c09a7618e0f5e59.json
case_095_p2_n5,case_095,2,5,existing_regression,legacy,0.01,217302,0,0.0,0,plans/1470210382f2c188b1f6aebfc4e2e8e5387a8b3d9762e65b0c09a7618e0f5e59.json
case_095_p2_n5,case_095,2,5,existing_regression,legacy,0.03,217302,0,0.0,0,plans/1470210382f2c188b1f6aebfc4e2e8e5387a8b3d9762e65b0c09a7618e0f5e59.json
case_095_p2_n5,case_095,2,5,existing_regression,persistent,0.0,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095_p2_n5,case_095,2,5,existing_regression,persistent,0.01,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095_p2_n5,case_095,2,5,existing_regression,persistent,0.03,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095_p2_n5,case_095,2,5,existing_regression,mature,0.0,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095_p2_n5,case_095,2,5,existing_regression,mature,0.01,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095_p2_n5,case_095,2,5,existing_regression,mature,0.03,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_047_p3_n3,case_047,3,3,core_regression,legacy,0.0,108619,1560748,0.0,0,plans/1edd1b4919434ee4b3196ae46eb30a8d82c2bc4670e9ec820e3367d72df2bd3e.json
case_047_p3_n3,case_047,3,3,core_regression,legacy,0.01,108619,1560748,0.0,0,plans/1edd1b4919434ee4b3196ae46eb30a8d82c2bc4670e9ec820e3367d72df2bd3e.json
case_047_p3_n3,case_047,3,3,core_regression,legacy,0.03,108619,1560748,0.0,0,plans/1edd1b4919434ee4b3196ae46eb30a8d82c2bc4670e9ec820e3367d72df2bd3e.json
case_047_p3_n3,case_047,3,3,core_regression,persistent,0.0,104462,1709964,0.0,0,plans/885fc12c73f41c52715b2571b3b6cba145001f201f07cd8f69105f7134e210f9.json
case_047_p3_n3,case_047,3,3,core_regression,persistent,0.01,104462,1709964,0.0,0,plans/885fc12c73f41c52715b2571b3b6cba145001f201f07cd8f69105f7134e210f9.json
case_047_p3_n3,case_047,3,3,core_regression,persistent,0.03,104462,1709964,0.0,0,plans/885fc12c73f41c52715b2571b3b6cba145001f201f07cd8f69105f7134e210f9.json
case_047_p3_n3,case_047,3,3,core_regression,mature,0.0,108690,1560748,0.0,0,plans/f55abb57a0dace50b82a6d3b8ae273fcbd287f214e14cfb5b30cca5a63b85f55.json
case_047_p3_n3,case_047,3,3,core_regression,mature,0.01,108690,1560748,0.0,0,plans/f55abb57a0dace50b82a6d3b8ae273fcbd287f214e14cfb5b30cca5a63b85f55.json
case_047_p3_n3,case_047,3,3,core_regression,mature,0.03,108690,1560748,0.0,0,plans/f55abb57a0dace50b82a6d3b8ae273fcbd287f214e14cfb5b30cca5a63b85f55.json
case_054_p1_n5,case_054,1,5,development,legacy,0.0,329736,6116212,0.0,0,plans/d977cf17037f28f9fd00e6015f8e83c47e3f8948a80c23dcc956e42839ac0e37.json
case_054_p1_n5,case_054,1,5,development,legacy,0.01,329736,6116212,0.0,0,plans/d977cf17037f28f9fd00e6015f8e83c47e3f8948a80c23dcc956e42839ac0e37.json
case_054_p1_n5,case_054,1,5,development,legacy,0.03,329736,6116212,0.0,0,plans/d977cf17037f28f9fd00e6015f8e83c47e3f8948a80c23dcc956e42839ac0e37.json
case_054_p1_n5,case_054,1,5,development,persistent,0.0,461210,6842858,0.0,0,plans/d2e090983ae8bf3050edb99542b55d3924c47de8b53481ee8f81e7b3cdbf27f0.json
case_054_p1_n5,case_054,1,5,development,persistent,0.01,461210,6842858,0.0,0,plans/d2e090983ae8bf3050edb99542b55d3924c47de8b53481ee8f81e7b3cdbf27f0.json
case_054_p1_n5,case_054,1,5,development,persistent,0.03,474129,3186602,0.028011101233711422,3656256,plans/2b5311f862d7fdda628743aa50083631310894cb23e7954acc5fe9bcecd1bfdd.json
case_054_p1_n5,case_054,1,5,development,mature,0.0,517986,1130496,0.0,0,plans/0c08de0e2afb73fc95a0f619c529fae1cdfd1f5e9408e3bba11acd3bb599e253.json
case_054_p1_n5,case_054,1,5,development,mature,0.01,518133,196608,0.00028379145382317894,933888,plans/253819c40c27bd2499138a9732a7287e078ab524dc897418afc5c1eeb13ab9bf.json
case_054_p1_n5,case_054,1,5,development,mature,0.03,518133,196608,0.00028379145382317894,933888,plans/253819c40c27bd2499138a9732a7287e078ab524dc897418afc5c1eeb13ab9bf.json
case_085_p1_n5,case_085,1,5,development,persistent,0.0,2627370,14570338,0.0,0,plans/5764988e1fe9e4f322c5570f2019e500bb1c8edefd1751cd744cc511fb656876.json
case_085_p1_n5,case_085,1,5,development,persistent,0.01,2627370,14570338,0.0,0,plans/5764988e1fe9e4f322c5570f2019e500bb1c8edefd1751cd744cc511fb656876.json
case_085_p1_n5,case_085,1,5,development,persistent,0.03,2627370,14570338,0.0,0,plans/5764988e1fe9e4f322c5570f2019e500bb1c8edefd1751cd744cc511fb656876.json
case_085_p1_n5,case_085,1,5,development,mature,0.0,2760933,4246258,0.0,0,plans/fbf894f47eb0c027e5c0d88c46ff00df2ebb804f78ee043e4cb23ecb9d2d6b49.json
case_085_p1_n5,case_085,1,5,development,mature,0.01,2761518,4241246,0.00021188489543200184,5012,plans/5bed20f453a8b68a1dbe13b55d9b993634e5bc34becaae47b4955b52557dbb75.json
case_085_p1_n5,case_085,1,5,development,mature,0.03,2761518,4241246,0.00021188489543200184,5012,plans/5bed20f453a8b68a1dbe13b55d9b993634e5bc34becaae47b4955b52557dbb75.json
case_060_p2_n4,case_060,2,4,core_regression,legacy,0.0,194109,3814784,0.0,0,plans/4743c111fdedcbfe2164e59cf9755acb4599eacdd41be3358847012cfb873b55.json
case_060_p2_n4,case_060,2,4,core_regression,legacy,0.01,194109,3814784,0.0,0,plans/4743c111fdedcbfe2164e59cf9755acb4599eacdd41be3358847012cfb873b55.json
case_060_p2_n4,case_060,2,4,core_regression,legacy,0.03,194109,3814784,0.0,0,plans/4743c111fdedcbfe2164e59cf9755acb4599eacdd41be3358847012cfb873b55.json
case_060_p2_n4,case_060,2,4,core_regression,persistent,0.0,194770,3841408,0.0,0,plans/7d33d97673ea1e92f47c06f6f8a761c985d9e7586e06e57363abbf2fe7c57674.json
case_060_p2_n4,case_060,2,4,core_regression,persistent,0.01,194770,3841408,0.0,0,plans/7d33d97673ea1e92f47c06f6f8a761c985d9e7586e06e57363abbf2fe7c57674.json
case_060_p2_n4,case_060,2,4,core_regression,persistent,0.03,194770,3841408,0.0,0,plans/7d33d97673ea1e92f47c06f6f8a761c985d9e7586e06e57363abbf2fe7c57674.json
case_060_p2_n4,case_060,2,4,core_regression,mature,0.0,194395,3667328,0.0,0,plans/bb336d27f5f85359ce4116fcc486ce90db32d5092c4cd9b1702d7c5fd6bcc0fb.json
case_060_p2_n4,case_060,2,4,core_regression,mature,0.01,194395,3667328,0.0,0,plans/bb336d27f5f85359ce4116fcc486ce90db32d5092c4cd9b1702d7c5fd6bcc0fb.json
case_060_p2_n4,case_060,2,4,core_regression,mature,0.03,196964,3634560,0.01321536047737859,32768,plans/a14eb3e7bc18d597a702291bc153074c6ea233f95857e5bb949592975e8a30f8.json
case_025_p2_n5,case_025,2,5,existing_regression,persistent,0.0,942938,110592,0.0,0,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p2_n5,case_025,2,5,existing_regression,persistent,0.01,942938,110592,0.0,0,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025_p2_n5,case_025,2,5,existing_regression,persistent,0.03,942938,110592,0.0,0,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_060_p2_n1,case_060,2,1,core_regression,legacy,0.0,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,legacy,0.01,735244,1949824,0.004849008331328841,114688,plans/12e530765dc03cdbcb05479ba5b68dc96fab1e3413c2ebc01847e24d623ba617.json
case_060_p2_n1,case_060,2,1,core_regression,legacy,0.03,751836,1922176,0.02752509238809564,142336,plans/ca617d647b6bd3109ec542f876de0977fc1149e2294eb5d2a45b31075685a160.json
case_060_p2_n1,case_060,2,1,core_regression,persistent,0.0,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,persistent,0.01,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,persistent,0.03,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,mature,0.0,727354,2259072,0.0,0,plans/e104042897f5fd3b906bca7c55fc11210f9ab17ae54820603d0efeeddf0a8638.json
case_060_p2_n1,case_060,2,1,core_regression,mature,0.01,729412,1792128,0.00282943381077172,466944,plans/5dd50786da1659f36626975dea87f29ab1c07ff82e511bbf48a6b82b41270c03.json
case_060_p2_n1,case_060,2,1,core_regression,mature,0.03,729412,1792128,0.00282943381077172,466944,plans/5dd50786da1659f36626975dea87f29ab1c07ff82e511bbf48a6b82b41270c03.json
