case,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate,plan_sha256
case_039,288160,20160512,3350528,15732736,8523776,0.6485984464707869,32fcdc4f23f90cc4e87ca77ade9fe735315623912ed70282aaec693494bba98e
case_040,56079,2162492,0,552420,1711754,0.2439830154396261,6b381721c8985b3eef85e306ed489c40be78088fa37dd8ac5819ec1359a7c533
case_041,1189899,36806656,18786304,16505856,22550528,0.4226160824309798,d1df213026385c9cc21c4ec8dba2212e8aae3d818a8d979c31618ee1dc2ea426
case_042,347203,8738816,4063232,2810880,7489312,0.27289588388255287,c78f17cbe3b0e6efb15845e933dd727aa1175c859024621fe09bc0810892b89b
case_043,140740,6691004,0,1685656,3640596,0.31648070725906324,18327819710eeb6b43a51ee8952309cce1af6dd0549cdc6e41bef3c7fa759840
case_044,43210,1021280,0,301120,1627648,0.15612038358164382,e997b80bc15e95db58b1d933663ff3f529b56f8e6e152d7c25243a63b84d8254
case_045,25770,0,0,0,278528,0.0,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_046,56262,2582304,0,2054784,1517312,0.5752320206399828,5209746d94ee678abda811305126109c800b36b45287bdf06862ffaff6d5ef33
case_047,83346,2658872,0,916440,1138454,0.4459792086599114,ea353c5daccfdc7f715b45e571357cc8f60ef573ae76cfe367a1ff0f8084c537
case_048,96737,1236440,0,262184,842390,0.2373620961565273,e175c2642284f48c038015900e0f439225f2985fdbb75cf2b9f795893b9d2579
case_049,52519,1786208,0,251222,827806,0.23282250321585723,8e6e017eedadcd7e1c38e4d09abfda6f8639cda9f7c50bc7d4f45ab22daf8046
case_050,35012,1481220,0,437636,787856,0.3571104503334171,90ac2fd20b6c0c71200f0bbe2ae40203c6a20aca3ec6957687288548c394569c
case_051,159635,3507604,0,360586,1966656,0.15494134258491382,66be6762f6a74731bf33b9d4a4ef2cb0394a49a1f31c0455971678bfd7ef1ae3
case_052,31139,328704,0,215808,922940,0.1895133954132082,7f5110d6ed1291d7437d4595f91d52f24c8a8980a0c744c348e18cf599f6dbed
case_053,316525,15784344,3289536,7976020,7205682,0.5253706073271627,bc168977718c5026022f5b3cedacb7eb828ad71d8ed26f17868f3b653aaf753f
case_054,192011,6504128,0,1289112,3917210,0.2476051231560399,c181086df169ced8a0ef5a8503dc2dd60c8a74094cef8b8f618eab2e2f968391
case_055,19462,198656,0,162816,661532,0.19750881909096643,146fe28744743e5c37f2d14408a34e3c1f1b61993ab9408762c7e50370759d74
case_056,79581,2734524,0,501282,1212512,0.29249839829057633,6ad7711e8fea6b8f6b869d11ad1c0704e35ea2b251f31ae8fb36bded847f7191
case_057,14028,14112,0,288,350412,0.0008212147134302823,7609a693c051df78a2606146066ef251e8021ebc6af5daec6597e6e76bc10fa5
case_058,880410,18444288,0,0,25047040,0.0,38075010f0195653bb099beabf7d385d97e912803cfae1d246b674450f867013
case_059,150528,4362240,0,4102144,1312768,0.7575642965204236,8bbd79ec1c3026291363d72abd40144241b5f5e2ea03f7f2894e65b4dbe9f6a9
case_060,153683,3508608,67584,2337024,3270312,0.4167797328356995,70ed10d1b1308ae57818a4bc5a2a5ac1fb8398b9003ec1b475077d9b68a0f109
case_061,18480,305762,0,125826,638676,0.16458557335363413,ec749670437cd0625d7b7153e59c4e024f4b41237162e54d6ff165636ad0f4e2
case_062,644927,7099392,239616,0,16949760,0.0,f1b5c7d39fc0200c24231ca1a0a012da5fbb76dbc046b91d1953b9405ce79895
case_063,206181,3164160,165888,124416,6560256,0.018612132352941176,6cda928522a0e8aa99768b8cb9190bdde9236a4484645c00e0e46123715c735a
case_064,8510,127410,0,27186,85142,0.2420233601595328,c4448c0f313436e62ee76537a2dda10024dd66e856616d2dbf4c9f97a07cb16b
case_065,8163,55584,0,37152,318152,0.10456397901515323,eccdadeaca8b9b69a3828cd6f488ecbb509c382ba1c9057677544ea5c5247f67
case_066,79059,3261704,0,1257182,1873626,0.4015519316419276,41299f55dc3650d1f485e8474f23e8d9516728247aaa8ca179d6d793a055d4ea
case_067,11868839,77927936,180224,11720064,39662080,0.22809604830814378,627235952de6688ccf8bf2d3d8cf71a6b99bb6cc518b7c08c6001856cd6f9ff6
case_068,114148,4188824,0,1439608,4310252,0.2503727047267238,9e43ab6b5ddeecc9d32006e7004bdc6ed86a854ec1a7a701e167cbe0b2c5884e
case_069,9107,426832,0,144784,252054,0.36484409255162054,f8dec54fab8513f430aca3c31f2fc7096cddee2bb6effa7f5a015344b82b5937
case_070,20916,462848,0,195584,687122,0.2215732078404361,94fa50702b6833464dc89d67268e2694a0b0421e4f9fa4bbb19fe441cbef7ec3
case_071,7473,361106,0,108306,236470,0.314134394505418,97644ccb61745a5ccd2e97936c70ef06329fae17d6c78e47d91a0d21905abddd
case_072,4625733,182240480,153789664,16097280,108046190,0.12966674767508915,27f7d392ce7d91c7c8d7a21d785df3130206a843e1bb599c49a00972b90fc3a0
case_073,1713089,14886400,0,14844928,3922816,0.7909809511468188,862c5c5efebde0ea76cf65abe50ef9bf962cefe7c7dd6a4a7b0515397c476be1
case_074,324586,4554752,614400,3694592,4325400,0.4606727787259638,6591c23cbc01ec9cfcc68da6ac9b04382755e5f74250fda38e5be4c63d114f0d
case_075,367706,12764184,0,2999190,6116360,0.32901909374640037,5df03dd8aa6d07cb45b93818af395542796f47a833b101a9ed5613a2a24c88ca
case_076,1223447,18843648,3581952,13919232,9193472,0.6022329537902619,81f11c7603a3e638307574ad60017fdb0169812a3f75ca6d7c77cc1459f1f432
case_077,101185,1165830,993798,94208,2758994,0.033018342199395624,32195a94f1fdbf37eb5b51f49461a8f31dc943d0e4375d0361996505526be65a
case_078,454208,11867136,0,5471664,6777552,0.4466950374619894,9f21822b6b58a46c636f313c156b9857c4ca4da42dd2f282ccc76969b48bee40
case_079,5941538,143093760,121061376,16252928,74125312,0.17983231361885338,63c777307db3e035842ec439517fa7a492c9e677d91505fc966af6e95a0aa465
case_080,71695,1904640,0,1290240,2519040,0.3387096774193548,e456eacc906d04a73cd2c1a3a81f843d9d152cdc8061e590d670ae784769b94f
case_081,30943,0,0,0,1044820,0.0,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93
case_082,191965,8262966,0,1510354,3540570,0.29902528725437166,61439307bc0fe364517d87032049e5549594ce8d04b17bcb989f1ef2fd1fd1d6
case_083,169444,3754368,0,2730432,2191904,0.5547024827236499,e61ab93687106b57a507fc243b58daa4cab35f1bd27ac4ff24edb596ce4a0ef7
case_084,256584,0,0,0,9927786,0.0,20b8a41e57591aece22c71debec2d53f52e018da8b07af1e2f53a94107d4bd93
case_085,815053,38726264,0,5557520,16601022,0.25080711537789807,0853ad1e3a014939a5f6a4de08aa901eabb5ce157d79e95ba829ffd0ad23dad2
case_086,37482,2115702,0,649936,940060,0.4087658082158697,fab28d27a8604a2c3880a588fafd7511ca7fe06b8fea6b2b20796382d6d6fedb
case_087,735938,7311380,330260,4935176,8129768,0.3777418410672101,8ade353d8052772a994d864eea71db43ebfe797cf5dc58b349e7f25cecc31f2c
case_088,71111,2468858,0,999244,2685468,0.27118645907739874,8cce36930258b7df17a583df7bdfaff38bd81a29ba06bcd7a5262a42356ba646
case_089,118946,954880,0,0,1357440,0.0,5e6d237c04531687ff4b73f71fd5849d4e1bb5051bf39b16f56cabf45fbaa42e
case_090,194575,7130112,0,5473800,3830136,0.5883316480250939,72311d538e79afe6db2e4812d66d85364b1e911fcf4115408d250f31f3d529a2
case_091,1818751,74685440,48772096,42772704,38372640,0.5271122394896742,19338df329a5f5b9f3ea1119a3e5af0186be942e2ce9a78195a5c31162351411
case_092,750838,4540800,720896,2812928,3411936,0.45188585646208496,093686e1db73eb4b7bd52843ffa7c575d0efd8ee3d687ae5933580a7354c3bd1
case_093,15630,32768,0,0,606208,0.0,0c4cfb67aa1d454f8b52227073e9a4415f09b4f4745686100b7c04f43fd2dec5
case_094,16243,259200,0,162144,568384,0.22195453151693023,79985c6dd1c1792cbc5d10e9823e97f7129cb8748881bdcc5ea862edc41ff6f5
case_095,220188,0,0,0,8516508,0.0,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982
case_096,21779,235312,0,96640,327404,0.22790087821075172,cd9d96f69dca9e556c5bdc86fd2660991a2b1414578498214ed1b9988234b0d2
case_097,2094984,17039360,0,16699392,4599808,0.7840384615384616,8a42ce6572a9ce8e7b899de42512f9113409c36c4b7b1c5fa897077ffa2ea177
case_098,42646,926452,51200,434236,943992,0.31506833412178537,7430f575f453185d385a18c612c36951335b42b26a8e778ef4da215fae2eb83c
case_099,321604,7065600,0,6819840,2779392,0.7104568365469237,4fc8e53a70b1899afc0740b20a9df67854097f4ca63de6c49abf61736be01254
case_100,57811,0,0,0,436006,0.0,c649ec9f2a9e1fdcc550ac4ec2c5e82d5cfaaee4d164270061bbbe456de954a4
